"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
32393,202,"SLE","Sierra Leone",1,"Eastern",1,"Kailahun","","","District","District"
32394,202,"SLE","Sierra Leone",1,"Eastern",2,"Kenema","","","District","District"
32395,202,"SLE","Sierra Leone",1,"Eastern",3,"Kono","","","District","District"
32396,202,"SLE","Sierra Leone",2,"Northern",4,"Bombali","","","District","District"
32397,202,"SLE","Sierra Leone",2,"Northern",5,"Kambia","","","District","District"
32398,202,"SLE","Sierra Leone",2,"Northern",6,"Koinadugu","","","District","District"
32399,202,"SLE","Sierra Leone",2,"Northern",7,"Port Loko","","","District","District"
32400,202,"SLE","Sierra Leone",2,"Northern",8,"Tonkolili","","","District","District"
32401,202,"SLE","Sierra Leone",3,"Southern",9,"Bo","","","District","District"
32402,202,"SLE","Sierra Leone",3,"Southern",10,"Bonthe","","","District","District"
32403,202,"SLE","Sierra Leone",3,"Southern",11,"Moyamba","","","District","District"
32404,202,"SLE","Sierra Leone",3,"Southern",12,"Pujehun","","","District","District"
32405,202,"SLE","Sierra Leone",4,"Western",13,"Western Rural","","","Area","Area"
32406,202,"SLE","Sierra Leone",4,"Western",14,"Western Urban","","Freetown","Area","Area"
